,Group name,No. of paths,TL,PPR (PP),PPR (Det),PPR,Consumption,PPR/consumption,PPR/TotPP (%),PPR/u. biom
34,Butterfishes,7150,2.31,38.74,126.1,164.8,44.32,3.719,4.216,0.0137
35,Demersal fish,7624,2.283,954.2,817.7,1772,524.5,3.378,45.32,0.00406
36,Common Silverbelly,6706,2.209,0.416,2.015,2.431,2.073,1.173,0.0622,0.00441
37,Goatfishes,20,2.181,0.63,3.611,4.241,6.057,0.7,0.108,0.00132
38,Blue Sprat,5,2.284,709.3,0,709.3,732.3,0.968,18.14,0.00768
39,Sandy Sprat,5,2.284,304.2,0,304.2,314.1,0.968,7.781,0.00357
40,Pilchard,5,2.425,197.3,0,197.3,182.7,1.08,5.047,0.00735
41,Australian Herring,10,2.371,3.382,0,3.382,4.99,0.678,0.0865,0.00291
42,Schooling species,5,2.3,2.779,0,2.779,2.432,1.143,0.0711,0.00368
43,Leatherjackets,7,2.136,4.262,12.68,16.94,17.02,0.995,0.433,0.00313
44,Other crabs,85,2.583,6.191,18.63,24.82,19.12,1.298,0.635,0.00717
45,Blue Swimmer Crab,39,2.495,2.265,14.5,16.77,10.48,1.6,0.429,0.00884
46,Mantis shrimp,49,2.368,0.89,6.232,7.122,2.752,2.588,0.182,0.0192
47,Seastars,7189,2.314,1.2,1.812,3.012,0.638,4.719,0.077,0.00391
48,Migratory waders,6,2.167,0.000084,0.00131,0.00139,0.00423,0.329,0.000036,0.00356
49,Seahorses,9,2.109,0.522,0.329,0.85,0.76,1.119,0.0217,0.00263
50,Mullets,65,2.037,5.408,50.94,56.35,61.39,0.918,1.441,0.00293
51,Rabbitfish,14,2.037,550.4,27.05,577.4,554.3,1.042,14.77,0.0103
52,Introduced species,5,2.131,0.113,0,0.113,0.0961,1.173,0.00288,0.0072
53,Western King Prawn,9,2.105,0.196,0.668,0.865,0.597,1.448,0.0221,0.0084
54,Other prawns,9,2.105,1.151,3.918,5.069,3.502,1.448,0.13,0.0107
55,Sea snails,9,2.01,0.417,0.449,0.866,0.831,1.042,0.0222,0.0045
56,Black Mussel,4,2.054,0.00053,0.000048,0.000578,0.000546,1.058,0.000015,0.00257
57,Corals,6,2.135,0.392,0.0445,0.437,0.375,1.164,0.0112,0.000893
58,Ascidians,6,2.227,4.612,2.181,6.793,5.46,1.244,0.174,0.00764
59,Sea Cucumbers,6,2.119,0.294,0.51,0.804,0.713,1.127,0.0206,0.00216
60,Sand dollars,3,2,0.88,0.88,1.759,8.797,0.2,0.045,0.000537
61,Sponges,6,2.114,0.218,0.12,0.338,0.301,1.123,0.00866,0.000891
62,Bivalves,6,2.122,0.0589,0.0206,0.0794,0.0692,1.147,0.00203,0.00205
63,Polychaetes,5,2,97.76,726.4,824.2,824.2,1,21.08,0.00619
64,Bryozoans,4,2.113,1.014,0.371,1.384,1.235,1.121,0.0354,0.00459
65,Urchins,4,2,100.6,41.32,141.9,156,0.91,3.629,0.00223
66,Zooplankton,2,2.131,611.4,0,611.4,561.5,1.089,15.64,0.0159
67,Planktotrophic Larvae,2,2.003,231.1,0,231.1,576.2,0.401,5.91,0.00277
,Total,1248132,,,,,5232,,,
